"Plant_I.D." "Year" "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily" "CAA"
"50" 2850 85 14836.873 458.89104109589 189.86002739726 2603.776769902 537 116.423888986767 0.0704515063133096 0 0
"51" 2864 85 2621.1031 194.758739726027 36.7962191780822 1129.8007632604 289 23.2999039028384 0.0167364690903123 0 0
"52" 2872 85 7298.746 679.609616438356 116.656931506849 2010.6331330008 382 55.8722726601041 0.21051557194034 0 0
"53" 2876 85 7924.17 592.725534246575 135.874657534247 1622.8794783432 338 62.0427820198849 0.0183453790684932 0 0
"54" 3098 85 1429.998 8.17068493150685 21.8697534246575 1207.4741706104 228 13.5584719673096 0.127547070817907 0 0
"55" 3130 85 1177.933 43.0954246575342 12.5628493150685 582.2208630084 106 10.7165122786192 0.120264171155704 0 0
"56" 3131 85 3931.272 171.332876712329 40.4251232876712 1014.9191660608 143 32.275352027737 0.199499603465688 0 0
"57" 3138 85 1772.682 64.7775890410959 25.8667123287671 762.258036694 173 16.5242608770904 0.0405783260664658 0 0
"58" 3140 85 8937.865 353.278602739726 74.3278630136986 1555.8326427028 211 72.4929771733808 0.421360925675622 0 0
"59" 3149 85 9753.995 285.226246575342 75.6027945205479 1571.1205533408 194 74.5095659889863 0.432196593471616 0 0
"60" 3178 85 2208.604 84.8466301369863 27.3619726027397 483.3067224524 84 18.1921524373151 0.0224191323616438 0 0
"61" 3297 85 3133.12 81.8690136986301 37.0957534246575 692.7836894748 89 25.1174066542521 0.2242728256608 0 0
"62" 3497 85 6330.736 110.627287671233 47.941397260274 954.7574130556 256 55.9699563437096 0 0.448798565753425 0
"63" 3644 85 488.829 6.97835616438356 5.02471232876712 307.7774443128 108 4.61573735962192 0.0236061863013699 0 0
"64" 3775 85 3610.499 50.6440273972603 39.6374794520548 900.3604604456 174 27.3665117479233 0.0352578052991836 0 0
"65" 3776 85 1317.808 25.2619452054795 15.8390136986301 728.7664879264 131 10.5428263103014 0.166258336397425 0 0
"66" 3788 85 2392.297 42.7118630136986 20.5193150684931 972.8268929764 206 20.6504859048 0.173613730657759 0 0
"67" 3796 85 1058.48 19.9240273972603 13.3431506849315 478.7183617524 131 8.86250858207671 0.0566548471232877 0 0
"68" 3936 85 1378.3 23.0008493150685 17.6314246575342 733.5685237188 132 10.7971405729151 0.0247196563860822 0 0
"69" 3945 85 397.881 10.6414520547945 6.09813698630137 428.0252926796 83 4.08465180366575 0.0152158732273973 0 0
"70" 3946 85 903.63 26.2403561643836 16.8337260273973 454.007692138 80 7.89343400607123 0.0180688494575342 0 0
"71" 3947 85 4642.436 420.909424657534 85.8539726027397 985.2247566084 247 36.2256144551342 0.0145245458276877 0 0
"72" 3948 85 8454.774 275.08197260274 103.718328767123 1845.1909709772 259 66.5427422767397 0.282025144619112 0 0
"73" 4054 85 1074.393 68.5470410958904 24.4743835616438 279.5873059672 61 8.85367424787945 0.000475630930849315 0 0
"74" 4072 85 1030.13 61.4160273972603 15.2686575342466 627.08322138 160 9.47857881751233 0.0753914144219178 0 0
"75" 4158 85 4881.023 79.5747397260274 76.0295890410959 1174.1925203932 308 44.5240747341041 0.0871406719785863 0 0
"76" 4162 85 3996.256 50.7078904109589 43.4373150684932 976.338597388 255 32.6015034481644 0.0448517910680384 0.102365737808219 0
"77" 6002 85 4792.413 58.9924383561644 39.8663835616438 1994.2054895532 330 37.6907303203068 0.426887666714121 0 0
"78" 6004 85 7189.766 96.268904109589 73.6895068493151 2251.08656003 257 57.8828536210027 0.183541470805479 0 0
"79" 6016 85 1944.859 23.4638630136986 20.0767945205479 873.9361669808 114 16.1293427089315 0.0193353078633534 0 0
"80" 6017 85 4303.296 37.8938904109589 27.2453424657534 1906.7091861972 243 35.097964600011 0.10982977480371 0 0
"81" 6095 85 4675.83 39.0618082191781 55.7999178082192 1212.355105808 264 38.9386011829151 0.0172698171466685 0 0
