"Plant_I.D." "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily" "CAA"
"1" 3 8793.00954545455 158.680500622665 73.592396014944 2022.55496263059 418.636363636364 68.142548967866 0.034070889624263 0.474740954267746 0.545454545454545
"2" 8 7562.19781818182 253.618727272727 66.5178530510585 1894.80812549149 488.545454545455 59.9712749082217 0.113863476063053 0 0.545454545454545
"3" 470 3542.82718181818 32.4296264009963 45.0193399750934 990.311729987196 114.272727272727 29.5592363634665 0.0364902612929395 0.0289928420988792 0.545454545454545
"4" 602 5419.40281818182 78.2697110834371 45.128702366127 1863.46341396509 148.818181818182 43.2739383783512 0.242316742080418 0 0.545454545454545
"5" 641 4526.78481818182 265.630864259029 54.3575491905355 1507.909842816 239.545454545455 38.1038927565594 0.0378759790716747 0.601132921046077 0.545454545454545
"6" 708 3616.44927272727 129.59898879203 43.5722938978829 1056.98728836761 278.454545454545 30.4807393937081 0.060825936693479 0 0.545454545454545
"7" 709 9254.87845454545 245.402505603985 110.480398505604 1680.26024914171 431.272727272727 72.7736245090819 0.0476596638470735 0 0.545454545454545
"8" 728 4879.30272727273 221.438156911582 43.066400996264 1602.56618496452 414.090909090909 40.673564575454 0.0811057955169968 0 0.545454545454545
"9" 856 3302.79427272727 66.9264657534247 36.1229589041096 1038.15678142949 158.636363636364 26.4668135782431 0.0395545766578341 0 0.545454545454545
"10" 861 3506.57818181818 287.592373599004 80.8117534246575 1238.01857273798 286.636363636364 29.9954058093325 0.0442794486576508 0 0.545454545454545
"11" 862 412.578771818182 30.2768293897883 5.99672727272727 497.477561006027 101.545454545455 3.69448723820623 0.023076631176662 0 0.545454545454545
"12" 863 520.112236363636 32.9123262764633 5.53142465753425 386.362647431977 89.9090909090909 4.48622701855293 0.0289030009392762 0 0.545454545454545
"13" 864 1118.29216363636 72.6458630136986 10.825098381071 760.195674135626 146.545454545455 9.36414028915965 0.184252000151589 0 0.545454545454545
"14" 876 3790.14272727273 356.540132004981 93.7814919053549 1512.65259840355 299.181818181818 34.6037289286177 0 0.0768871152328767 0.545454545454545
"15" 879 4148.57854545455 52.4266525529265 61.3342366127024 3080.74833467962 363.727272727273 39.1681228622316 0 0.138931114540722 0.545454545454545
"16" 887 6389.26454545455 242.562881693649 57.7529290161893 2078.70102879033 345.454545454545 53.0639788821818 0.0437104147922316 0.0623075944221669 0.545454545454545
"17" 889 9264.27024909091 648.661509339975 162.417603985056 1954.67409357652 264.090909090909 75.5984608074635 0.0755827165031133 0 0.545454545454545
"18" 983 9550.57227272727 662.883163138232 177.35202988792 1925.40863350079 390.454545454545 75.3533734395601 0.0155940207257589 0 0.545454545454545
"19" 988 3945.87245454545 161.259870485679 63.8296164383562 1868.52317792564 311.909090909091 30.8967121340309 0.132154417119918 0 0.545454545454545
"20" 991 637.338363636364 30.1 6.45752179327522 658.910618348346 99.1818181818182 5.85144573693699 0.0671471552751826 0 0.545454545454545
"21" 994 9317.509 283.188592777086 74.2280149439601 2967.69656237772 324.363636363636 77.4878527612513 0.103391064247324 0 0.545454545454545
"22" 1004 161.666328545455 12.8510709838107 3.03286674968867 372.983079524193 66.6363636363636 1.74256887656189 0.030240444373599 0 0.545454545454545
"23" 1008 2209.62924545455 126.893855541719 28.0282615193026 835.66981502657 151.454545454545 18.8896368180105 0.148523988745798 0 0.545454545454545
"24" 1012 1971.94746909091 122.777945205479 25.0480249066003 597.63596270278 86.4545454545455 16.9818962150331 0.00531105468657534 0.0148686564463263 0.545454545454545
"25" 1047 1007.70254072727 15.8444657534247 17.7471407222914 523.745568603798 51.1818181818182 9.52636738836314 0.0340358286127024 0 0.545454545454545
"26" 1250 1783.06818181818 12.5295367372354 18.2684084682441 663.580142547862 134.909090909091 16.201304364925 0 0.301087147006476 0.545454545454545
"27" 1355 3134.59536363636 139.834525529265 28.8910684931507 753.73721910268 149.181818181818 26.6979438505405 0.0498692641996513 0 0.545454545454545
"28" 1356 9277.52518181818 255.35103860523 82.6753175591532 2219.90784843006 237.363636363636 76.4621024181071 0.133574225603985 0 0.545454545454545
"29" 1357 892.073454545455 53.1817285180573 13.0946749688667 404.081772157623 105.272727272727 8.31388704580722 0.0104124741758406 0 0.545454545454545
"30" 1364 7147.45836363636 350.527212951432 71.0727745952677 1925.16576305782 418.545454545455 58.5788166508752 0.16613480123905 0.0895803309526775 0.545454545454545
"31" 1570 428.502272727273 9.38056288916563 3.77387795765878 344.416530305483 66.3636363636364 3.68992404706401 0.0244232056064757 0 0.545454545454545
"32" 1606 1041.60661809091 27.5108343711083 10.8947148194271 214.166878014973 68.0909090909091 8.18749454617435 0.00725424420462366 0 0.545454545454545
"33" 1695 1924.12 30.4021120797011 17.7349115815691 818.674418658888 166.272727272727 15.4299051024538 0.0317898686017435 0.0178615763387298 0.545454545454545
"34" 1745 3333.22009090909 53.3374694894147 30.0500124533001 1995.12639266697 326.272727272727 27.8528180765201 0.123583880623898 0 0.545454545454545
"35" 1943 292.305027272727 4.39888667496887 4.49375591531756 246.510179721644 42.2727272727273 2.77083057047821 0.0102981221305106 0 0.545454545454545
"36" 2080 2107.50970545455 66.5830211706102 24.297195516812 620.079038092111 157.363636363636 17.5421224327786 0.0339590815287243 0 0.545454545454545
"37" 2103 11497.7482727273 554.790186799502 102.004383561644 3067.84756814845 466.454545454545 93.1094331036687 0.284596182049315 0 0.545454545454545
