"Plant_I.D." "Year" "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily"
"142" 2850 14909797000 0.17349472 189.97098630137 1300611.63794521 0.002977128 146273266800000 0.0686107330009644 0 7.33815564205479e-08
"143" 2864 2384956500 0.06265251 34.0382739726027 563557.597583562 0.0015547224 27146231200000 0.0153064670257973 0 2.64579581342466e-08
"144" 2872 7924856000 0.27531178 123.235698630137 1001592.43718356 0.0020784764 75871852400000 0.198212823505775 0 1.16328837152055e-07
"145" 2876 7381259000 0.20873905 128.799178082192 807381.731616438 0.0018634616 73139117800000 0.0160522066849315 0 8.82137488273973e-08
"146" 3098 1710661000 0.00384715 25.8707945205479 601679.415284932 0.0012735492 20158381400000 0.104392400041923 0 1.16129830578082e-08
"147" 3130 1225454000 0.01587955 12.5237808219178 291816.517356164 0.000578886 13689710800000 0.152768001197786 0 6.69985319671233e-09
"148" 3131 3805002000 0.05844827 38.6538082191781 524314.237441096 0.0007939008 3.8599104e+13 0.224820536395364 0 2.46631653369863e-08
"149" 3138 1860936000 0.02535109 27.2610410958904 380131.711191781 0.0009703232 21965391800000 0.027266774004937 0 1.07239291175342e-08
"150" 3140 8848237000 0.12351556 72.8455616438356 781181.489005479 0.0011632852 87874729200000 0.260556646869074 0 5.21868464309589e-08
"151" 3149 9324038000 0.10508667 73.0306849315069 788756.898936986 0.001047508 8.9170441e+13 0.353179963530148 0 4.44550736909589e-08
"152" 3178 2445425000 0.03438539 30.5119452054795 240433.21419589 0.000468622 25271085600000 0.0144790229835616 0 1.45083299835616e-08
"153" 3297 2795964000 0.02715689 32.3168767123288 346722.075232877 0.000496188 2.7456194e+13 0.187412129960942 0 1.14488558284932e-08
"154" 3497 7637181000 0.06243112 57.6259726027397 474457.334863014 0.0014113792 82246914800000 0 0.628480264512329 3.34230196076712e-08
"155" 3644 1016795000 0.00521117 10.1122465753425 153878.441097534 0.0005843992 11577937400000 0.0160522066849315 0 2.19780017917808e-09
"156" 3775 2628321000 0.01444918 29.3706301369863 449000.324049315 0.0009868628 25057669800000 0.0278732742603288 0 6.10191010356164e-09
"157" 3776 990150000 0.01117082 17.8842191780822 363059.877621918 0.0007222292 1.5861971e+13 0.109215875695068 0 4.72071535479452e-09
"158" 3788 2004791000 0.01352786 17.0575616438356 489547.692638356 0.0011632852 21290675600000 0.127367832417633 0 5.71654312684932e-09
"159" 3796 1309382000 0.00852933 16.301698630137 239239.419827397 0.000771848 13489072400000 0.0330486608219178 0 3.60273761260274e-09
"160" 3936 1580809000 0.00886441 19.7095342465753 363210.441717808 0.0007553084 15176548400000 0.030266176036389 0 3.72662191479452e-09
"161" 3945 354501000 0.00309977 5.39369863013699 213526.670562192 0.0004355428 4424152400000 0.00760793661369863 0 1.31348353479452e-09
"162" 3946 740826000 0.00792407 12.8615616438356 226472.433538356 0.0004355428 7958652600000 0.0175933534191781 0 3.34779882986301e-09
"163" 3947 4580917000 0.14608395 83.7246575342466 489939.029082192 0.001350734 4.4240664e+13 0.014046746500011 0 6.17606885753425e-08
"164" 3948 7407524000 0.08185254 92.5270410958904 918378.201652055 0.0014003528 73220697400000 0.266825364066148 0 3.46065807953425e-08
"165" 4054 994893000 0.01890271 22.1102739726027 139717.339974521 0.000330792 1.0200758e+13 0.000944247452054794 0 7.98821300465753e-09
"166" 4072 1182113000 0.02457673 17.6662739726027 321199.694991781 0.0009041648 1.3369942e+13 0.10145264409863 0 1.03674034405479e-08
"167" 4158 4097987000 0.02397691 64.3529315068493 585763.703646575 0.0015381828 4.6592658e+13 0.0393987080754247 0 1.09695217775342e-08
"168" 4162 2861524000 0.01335001 32.0398904109589 492832.358224658 0.001268036 29824525400000 0.0599596727377315 0.115981288249315 8.07936178931507e-09
"169" 6002 4440395000 0.01949059 37.2496438356164 999435.859331507 0.0018303824 43933303800000 0.502990494027978 0 8.20005042410959e-09
"170" 6004 6820354000 0.03163968 72.1469589041096 1120719.87894795 0.0014168924 68903194400000 0.241551987484932 0 6.0146635660274e-08
"171" 6016 1598528000 0.00711856 16.5231232876712 435184.091317808 0.00068915 16564598200000 0.0343816549499836 0 2.14986356235616e-08
"172" 6017 2963483000 0.0081548 19.6443835616438 948790.063021918 0.0013341944 31778878200000 0.113946120401573 0 2.06966756638356e-08
"173" 6095 4447882000 0.01703561 53.1847123287671 614961.882775342 0.0014665112 46181189600000 0.0779475226254411 0 7.82697632876712e-09
"174" 6139 7212789000 0.03112929 131.880547945205 583033.158964384 0.0007222292 74369002400000 0.12511278739726 0 1.42790127452055e-08
"175" 6146 15314013000 0.04327752 125.66295890411 1183449.18631233 0.00385924 171967527800000 0.343449776810959 0 7.98157757868493e-08
"176" 6147 13270109000 0.07412089 118.55498630137 878301.016668493 0.0029109696 148340353200000 0.296911866673973 0 5.40898663660274e-08
"177" 6155 5673741000 0.05666987 53.6567397260274 682284.562728767 0.0014499716 5.5700916e+13 0.0683770047780822 0 2.38931700805479e-08
"178" 6178 4452831000 0.01255092 41.2478630136986 364887.434446575 0.0006670972 4.3238808e+13 0.0276563334082192 0 5.3178956630137e-09
"179" 6193 6361846000 0.02400924 73.1762739726027 529982.365210959 0.000854546 63182944400000 0 0.312867239819178 1.10311628293151e-08
"180" 6248 3567352000 0.01335438 67.6605479452055 558745.022150685 0.0006450444 3.802183e+13 0.0607592378739452 0 6.12741120821918e-09
"181" 6264 8989569000 0.04227479 70.1486575342466 872581.075183562 0.0013672736 83409946600000 0.13467241604811 0 1.78813890386301e-08
"182" 8042 14200705000 0.09165406 153.265643835616 748480.66200274 0.0010089156 127778597800000 0.0747865227595069 0 3.87868509821918e-08
"183" 8102 13337961000 0.37882545 177.299753424658 1334810.30970137 0.0020012916 1.33056431e+14 0.123552236377874 0 1.59882724607671e-07
"184" 8226 2745102000 0.03154324 22.5749589041096 478248.453909589 0.0008655724 27062443200000 0.00229094665742466 0.132148715605479 1.32978946783562e-08
"185" 3 8753773000 0.05443845 73.1945753424658 972914.561728767 0.0025305588 84870778600000 0.0799067956207068 0.655780256917808 2.30449532367123e-08
"186" 8 7008390000 0.06437953 60.6258082191781 923620.019435616 0.0029661016 6.940389e+13 0.138965700129238 0 2.71915645347945e-08
"187" 470 3144349000 0.01014326 40.0911780821918 460749.640364384 0.0006009388 32845414800000 0.0463835391678247 0.00818829550684931 4.65258661643836e-09
"188" 602 3644755000 0.02075594 30.884602739726 619017.441715069 0.0006836368 36660695400000 0.195377932986658 0 8.80474617123288e-09
"189" 641 5317230000 0.1290166 66.1101369863014 723669.657761644 0.0013066284 5.5864568e+13 0.0364985363342466 0.662980545205479 5.45054797726027e-08
"190" 708 4958818000 0.07077098 61.1364109589041 504531.338717808 0.0017311448 51524148400000 0.0426462515926521 0 2.9889269870137e-08
"191" 709 9872438000 0.09645889 116.658630136986 823342.126268493 0.0027731396 95804675400000 0.0553801130630137 0 4.07610829126027e-08
"192" 728 7062849000 0.1158676 61.7330410958904 787581.481219178 0.0025801776 7.1494006e+13 0.0656251979178082 0 4.89426418241096e-08
"193" 856 3316843000 0.02228568 38.4173424657534 510197.385961644 0.0008380064 32929525600000 0.0261595258364712 0 9.42213626547945e-09
"194" 861 2960853000 0.10973014 69.1134246575343 601890.28950137 0.001598828 3.2110731e+13 0.0539331617567342 0 4.63682105630137e-08
"195" 862 364343500 0.00988924 4.984 242472.572003836 0.0005568332 3846665600000 0.0167224571325863 0 4.18161911178082e-09
